step,compute_ms,migration_ms,layer_ms,imbalance,tokens,max_device_tokens
0,0.9133333333333333,0.0,0.9133333333333333,1.25,1024,80
1,0.86125,0.0,0.86125,1.171875,1024,75
2,0.9133333333333333,0.0,0.9133333333333333,1.25,1024,80
3,0.83,0.0,0.83,1.125,1024,72
4,0.8404166666666666,0.0,0.8404166666666666,1.140625,1024,73
5,0.92375,0.0,0.92375,1.265625,1024,81
6,0.83,0.0,0.83,1.125,1024,72
7,0.8404166666666666,0.0,0.8404166666666666,1.140625,1024,73
8,0.8404166666666666,0.0,0.8404166666666666,1.140625,1024,73
9,0.8508333333333333,0.0,0.8508333333333333,1.15625,1024,74
10,0.8508333333333333,0.0,0.8508333333333333,1.15625,1024,74
11,0.8716666666666666,0.0,0.8716666666666666,1.1875,1024,76
12,0.8195833333333333,0.0,0.8195833333333333,1.109375,1024,71
13,0.8404166666666666,0.0,0.8404166666666666,1.140625,1024,73
14,0.8091666666666666,0.0,0.8091666666666666,1.09375,1024,70
15,0.8091666666666666,0.0,0.8091666666666666,1.09375,1024,70
16,0.8508333333333333,0.0,0.8508333333333333,1.15625,1024,74
17,0.8195833333333333,0.0,0.8195833333333333,1.109375,1024,71
18,0.83,0.0,0.83,1.125,1024,72
19,0.79875,0.0,0.79875,1.078125,1024,69
20,0.83,0.0,0.83,1.125,1024,72
21,0.8925,0.0,0.8925,1.21875,1024,78
22,0.8091666666666666,0.0,0.8091666666666666,1.09375,1024,70
23,0.83,0.0,0.83,1.125,1024,72
24,0.8195833333333333,0.0,0.8195833333333333,1.109375,1024,71
25,0.8404166666666666,0.0,0.8404166666666666,1.140625,1024,73
26,0.8404166666666666,0.0,0.8404166666666666,1.140625,1024,73
27,0.79875,0.0,0.79875,1.078125,1024,69
28,0.8508333333333333,0.0,0.8508333333333333,1.15625,1024,74
29,0.8404166666666666,0.0,0.8404166666666666,1.140625,1024,73
30,0.86125,0.0,0.86125,1.171875,1024,75
31,0.79875,0.0,0.79875,1.078125,1024,69
32,0.8716666666666666,0.0,0.8716666666666666,1.1875,1024,76
33,0.8820833333333333,0.0,0.8820833333333333,1.203125,1024,77
34,0.79875,0.0,0.79875,1.078125,1024,69
35,0.83,0.0,0.83,1.125,1024,72
36,0.83,0.0,0.83,1.125,1024,72
37,0.83,0.0,0.83,1.125,1024,72
38,0.83,0.0,0.83,1.125,1024,72
39,0.8091666666666666,0.0,0.8091666666666666,1.09375,1024,70
40,0.9029166666666666,0.0,0.9029166666666666,1.234375,1024,79
41,0.8091666666666666,0.0,0.8091666666666666,1.09375,1024,70
42,0.9029166666666666,0.0,0.9029166666666666,1.234375,1024,79
43,0.8195833333333333,0.0,0.8195833333333333,1.109375,1024,71
44,0.8508333333333333,0.0,0.8508333333333333,1.15625,1024,74
45,0.8508333333333333,0.0,0.8508333333333333,1.15625,1024,74
46,0.83,0.0,0.83,1.125,1024,72
47,0.8508333333333333,0.0,0.8508333333333333,1.15625,1024,74
48,0.79875,0.0,0.79875,1.078125,1024,69
49,0.8404166666666666,0.0,0.8404166666666666,1.140625,1024,73
50,0.8508333333333333,0.0,0.8508333333333333,1.15625,1024,74
51,0.8195833333333333,0.0,0.8195833333333333,1.109375,1024,71
52,0.8508333333333333,0.0,0.8508333333333333,1.15625,1024,74
53,0.8091666666666666,0.0,0.8091666666666666,1.09375,1024,70
54,0.86125,0.0,0.86125,1.171875,1024,75
55,0.9029166666666666,0.0,0.9029166666666666,1.234375,1024,79
56,0.8091666666666666,0.0,0.8091666666666666,1.09375,1024,70
57,0.8195833333333333,0.0,0.8195833333333333,1.109375,1024,71
58,0.8404166666666666,0.0,0.8404166666666666,1.140625,1024,73
59,0.83,0.0,0.83,1.125,1024,72
60,0.83,0.0,0.83,1.125,1024,72
61,0.8404166666666666,0.0,0.8404166666666666,1.140625,1024,73
62,0.83,0.0,0.83,1.125,1024,72
63,0.83,0.0,0.83,1.125,1024,72
64,0.8195833333333333,0.0,0.8195833333333333,1.109375,1024,71
65,0.8091666666666666,0.0,0.8091666666666666,1.09375,1024,70
66,0.83,0.0,0.83,1.125,1024,72
67,0.9029166666666666,0.0,0.9029166666666666,1.234375,1024,79
68,0.8195833333333333,0.0,0.8195833333333333,1.109375,1024,71
69,0.8716666666666666,0.0,0.8716666666666666,1.1875,1024,76
70,0.9029166666666666,0.0,0.9029166666666666,1.234375,1024,79
71,0.8195833333333333,0.0,0.8195833333333333,1.109375,1024,71
72,0.86125,0.0,0.86125,1.171875,1024,75
73,0.8508333333333333,0.0,0.8508333333333333,1.15625,1024,74
74,0.83,0.0,0.83,1.125,1024,72
75,0.8195833333333333,0.0,0.8195833333333333,1.109375,1024,71
76,0.8195833333333333,0.0,0.8195833333333333,1.109375,1024,71
77,0.8195833333333333,0.0,0.8195833333333333,1.109375,1024,71
78,0.8508333333333333,0.0,0.8508333333333333,1.15625,1024,74
79,0.8820833333333333,0.0,0.8820833333333333,1.203125,1024,77
80,0.8716666666666666,0.0,0.8716666666666666,1.1875,1024,76
81,0.83,0.0,0.83,1.125,1024,72
82,0.8091666666666666,0.0,0.8091666666666666,1.09375,1024,70
83,0.8091666666666666,0.0,0.8091666666666666,1.09375,1024,70
84,0.79875,0.0,0.79875,1.078125,1024,69
85,0.8091666666666666,0.0,0.8091666666666666,1.09375,1024,70
86,0.79875,0.0,0.79875,1.078125,1024,69
87,0.8508333333333333,0.0,0.8508333333333333,1.15625,1024,74
88,0.83,0.0,0.83,1.125,1024,72
89,0.8925,0.0,0.8925,1.21875,1024,78
90,0.8195833333333333,0.0,0.8195833333333333,1.109375,1024,71
91,0.86125,0.0,0.86125,1.171875,1024,75
92,0.8404166666666666,0.0,0.8404166666666666,1.140625,1024,73
93,0.8508333333333333,0.0,0.8508333333333333,1.15625,1024,74
94,0.9341666666666666,0.0,0.9341666666666666,1.28125,1024,82
95,0.86125,0.0,0.86125,1.171875,1024,75
